#{"t_start": 1780240508.2855844}
r,l,t
-126526.0,8,302.714422
-151818.0,7,612.736851
-89895.0,7,904.779087
-114623.0,7,1172.306216
-59316.0,6,2498.341979
-89499.0,7,4478.308075
-132041.0,7,5395.351372
-93523.0,6,5976.029439
-98924.0,7,6282.600158
-115414.0,7,6530.70681
-151785.0,9,6876.489052
-133284.0,8,7180.714286
-119583.0,9,7466.769549
-89249.0,8,7753.502734
-128671.0,11,8148.976931
-84507.0,7,8417.787623
-77463.0,7,8707.209511
-93947.0,6,8923.850157
-109913.0,10,9242.533606
-108705.0,8,9545.433286
-115369.0,9,9903.615249
-110395.0,6,10136.318713
-160479.0,6,10390.6634
-111463.0,9,10672.328376
-82630.0,9,10993.493668
-89321.0,8,11270.48669
-83865.0,8,11536.692157
-136542.0,9,11864.502364
-69138.0,7,12101.847011
-188498.0,7,12374.166202
-103116.0,12,12652.059517
-83798.0,8,12879.803686
-82561.0,10,13169.032924
-88270.0,8,13437.880652
-89985.0,12,13765.623914
-107236.0,8,14015.04762
-127022.0,10,14365.085735
-160553.0,12,14745.229184
-86382.0,11,14987.941091
-73613.0,8,15209.554805
-93180.0,10,15484.528496
-107338.0,9,15717.404281
-150114.0,12,16070.752198
-70866.0,6,16317.501513
-90197.0,9,16608.301847
-104152.0,12,16901.672857
-123931.0,14,17187.181897
-77875.0,7,17441.374973
-106252.0,13,17738.099095
-115276.0,11,18024.569903
-74430.0,9,18242.604637
-114699.0,12,18520.981729
-116411.0,8,18759.208561
-125439.0,7,18995.068206
-94894.0,13,19268.812691
-62411.0,17,19575.570333
-102719.0,12,19851.662139
-117374.0,11,20133.640447
-68917.0,12,20374.221061
-120461.0,11,20602.39819
-98361.0,12,20849.384865
-65802.0,10,21118.365747
-94937.0,12,21425.080646
-129843.0,13,21764.529973
-79992.0,9,22073.954239
-126971.0,12,22372.100869
-89385.0,9,22596.66025
-61566.0,12,22884.775533
-130092.0,10,23147.251355
-83727.0,13,23390.786844
-103451.0,12,23602.289527
-70262.0,8,23851.128647
-72442.0,12,24112.647999
-77380.0,13,24328.340624
-101290.0,15,24643.51703
-90749.0,14,24871.506157
-68238.0,16,25094.898579
-116167.0,8,25303.396349
-74050.0,12,25527.043359
-84091.0,16,25771.699513
-113624.0,12,25984.147632
-139858.0,12,26188.145269
-96411.0,9,26425.908426
-100663.0,17,26685.318437
-113716.0,12,26991.149734
-78436.0,18,27239.813679
-108937.0,14,27516.572154
-139569.0,9,27729.533233
-95824.0,20,27968.132032
-92581.0,13,28187.207894
-62403.0,20,28411.909087
-69060.0,24,28629.143478
-71979.0,18,28888.96667
-93108.0,12,29140.992899
-62577.0,18,29396.72782
-122255.0,16,29670.099722
-92611.0,14,29905.508821
-80075.0,20,30091.687582
-54960.0,28,30312.800089
-82635.0,20,30559.147053
-83047.0,21,30840.10923
-73811.0,24,31058.071598
-59191.0,22,31252.029271
-61142.0,21,31474.157947
-52265.0,28,31684.944548
-59392.0,24,31874.938609
-54992.0,24,32077.357604
-53234.0,24,32271.330825
-52557.0,28,32481.130303
-62015.0,24,32673.359767
-61928.0,21,32868.986423
-64759.0,21,33108.491182
-60216.0,21,33335.943387
-77484.0,24,33701.505334
-80404.0,24,34193.356892
-58099.0,24,34635.966316
-76984.0,24,34967.291619
-56566.0,28,35342.860538
-61751.0,24,35590.713514
-48907.0,24,35813.886605
-47863.0,28,36058.42747
-55293.0,24,36337.653557
-54284.0,28,36609.629725
