#{"t_start": 1780925953.7692416}
r,l,t
-140280.0,7,194.412802
-91828.0,8,411.071048
-75227.0,6,559.496711
-98613.0,8,771.540219
-102850.0,8,991.116851
-101217.0,7,1180.543538
-155119.0,8,1382.012626
-118173.0,8,1583.894003
-126487.0,9,1831.766855
-143896.0,6,1993.876304
-139630.0,6,2159.353844
-63911.0,6,2315.707122
-79954.0,6,2495.619391
-67414.0,6,2669.426228
-117260.0,8,2893.509592
-122985.0,7,3080.641753
-56903.0,6,3236.430392
-145282.0,7,3428.615973
-89208.0,7,3626.222886
-92410.0,6,3798.764222
-99052.0,9,4013.981207
-125840.0,7,4215.308828
-148457.0,7,4396.606421
-96839.0,8,4582.802008
-86929.0,7,4761.746876
-94861.0,7,4961.471538
-162415.0,9,5167.534225
-190843.0,6,5348.296213
-127199.0,9,5531.257813
-180647.0,9,5744.104246
-59003.0,8,5947.953273
-210343.0,9,6171.619206
-87265.0,8,6378.642846
-169138.0,8,6569.428883
-88864.0,7,6750.308923
-95619.0,8,6936.94962
-92244.0,8,7109.761571
-144334.0,9,7311.339577
-102587.0,8,7478.098318
-106521.0,7,7663.034278
-131541.0,8,7841.707098
-86974.0,7,8018.479176
-75119.0,8,8262.9308
-81208.0,8,8447.882402
-156538.0,9,8669.243477
-90281.0,8,8832.34594
-115144.0,11,9021.641537
-79313.0,12,9202.254284
-79162.0,8,9407.596287
-95407.0,9,9629.314385
-100662.0,7,9832.883894
-68819.0,11,10026.473379
-158603.0,11,10227.812038
-90895.0,8,10385.776888
-89775.0,9,10543.717859
-87859.0,8,10711.68936
-107802.0,7,10902.824528
-94137.0,12,11039.733467
-96645.0,11,11216.15823
-93962.0,10,11368.888358
-79453.0,6,11543.657697
-94342.0,10,11712.469555
-105885.0,8,11862.610618
-51210.0,8,12005.973664
-71279.0,9,12184.667534
-72124.0,11,12381.027084
-114895.0,10,12571.348815
-127446.0,10,12770.12792
-75085.0,8,12957.028226
-115666.0,8,13127.98967
-105863.0,12,13289.527583
-124280.0,8,13448.255501
-67118.0,8,13608.49807
-93247.0,12,13785.418962
-69854.0,14,13935.584208
