#{"t_start": 1780911697.7116385}
r,l,t
-43016.0,7,47.226011
-27624.0,7,98.364101
-17188.0,6,142.853917
-25327.0,7,189.723308
-29928.0,7,236.259462
-14357.0,8,284.414812
-36815.0,7,334.780434
-26769.0,8,385.992284
-17289.0,6,433.310024
-31151.0,7,479.729975
-21742.0,6,525.221175
-45224.0,8,576.250471
-24242.0,6,620.242519
-21730.0,7,669.841412
-31925.0,7,721.926066
-29248.0,7,770.030818
-11162.0,6,814.821543
-24972.0,6,858.912942
-22375.0,9,908.619458
-27443.0,9,959.392179
-25735.0,8,1006.26615
-30190.0,8,1057.359493
-25924.0,8,1110.131181
-32749.0,9,1173.286246
-29301.0,9,1233.349931
-31672.0,7,1279.71387
-27265.0,8,1332.40596
-23070.0,6,1376.919796
-26131.0,7,1428.045241
-32099.0,7,1475.216334
-50015.0,6,1520.539749
-28831.0,9,1580.831079
-14458.0,8,1627.359155
-18215.0,10,1677.144851
-15749.0,8,1725.601279
-30275.0,10,1776.792662
-33962.0,10,1827.494965
-41337.0,7,1876.191523
-15685.0,8,1919.588545
-20821.0,8,1973.187272
-22776.0,7,2017.257163
-36867.0,8,2066.221078
-19579.0,10,2111.731261
-25929.0,8,2150.536947
-27119.0,10,2197.398185
-18154.0,12,2241.251039
-27216.0,8,2293.74086
-24314.0,8,2342.231452
-19671.0,7,2389.790689
-18759.0,9,2430.945175
-27560.0,7,2479.847584
-42743.0,10,2525.194722
-19057.0,7,2574.978034
-24322.0,8,2614.923815
-21160.0,11,2676.118896
-49161.0,8,2735.150258
-33208.0,8,2782.42513
-15580.0,7,2832.566051
-16140.0,9,2875.059364
-21982.0,10,2932.161749
-15791.0,11,2979.022409
-23797.0,7,3020.227511
-21591.0,8,3065.069407
-13040.0,9,3103.799872
-19878.0,9,3154.877987
-20856.0,8,3194.94132
-28397.0,12,3247.783392
-34591.0,11,3303.154322
-18587.0,9,3345.342742
-22913.0,13,3385.619407
-35000.0,8,3438.183531
-27740.0,10,3489.681977
-17460.0,13,3538.917272
-15473.0,14,3582.190223
-21421.0,12,3639.741031
-21199.0,10,3680.608841
-16631.0,20,3732.267231
-23822.0,12,3773.4584
-25210.0,11,3817.422705
-17193.0,14,3867.150798
-33463.0,13,3922.504297
-47405.0,7,3963.391943
-34148.0,12,4015.356113
-23823.0,12,4055.419759
-12302.0,12,4095.724305
-21861.0,8,4140.152661
-19552.0,9,4183.579365
-12947.0,16,4230.139105
-29300.0,12,4274.280939
-35179.0,12,4320.317521
-19424.0,10,4366.226297
-22301.0,16,4408.978021
-16180.0,11,4450.166141
-19263.0,13,4499.0843
-25762.0,13,4546.557765
-21663.0,12,4598.564245
-29360.0,11,4652.09891
-21386.0,20,4697.863004
-17077.0,20,4741.078766
-19413.0,14,4784.335422
-14770.0,12,4830.582508
-17286.0,20,4877.511295
-19918.0,13,4924.676066
-22523.0,16,4968.045256
-19825.0,24,5018.103869
-18544.0,16,5069.069886
-12175.0,24,5170.692355
-11459.0,22,5250.136603
-11710.0,20,5320.874029
-10685.0,28,5389.29501
-11949.0,28,5451.851934
-10079.0,24,5509.967954
-13667.0,24,5563.951023
-18865.0,20,5614.161789
-14229.0,24,5666.310483
-19217.0,20,5709.834772
-14394.0,24,5753.110648
-11314.0,25,5796.387083
-10900.0,28,5843.863408
-12225.0,27,5896.187835
-11882.0,28,5947.043353
-19840.0,20,5993.591652
-10869.0,28,6041.719661
-10586.0,24,6086.452857
-12030.0,25,6138.876836
-14257.0,24,6186.182649
-13168.0,20,6229.883865
-10651.0,28,6277.929828
-10630.0,28,6323.076638
-11697.0,20,6367.476837
-9738.0,21,6410.837449
-11884.0,24,6457.222631
-10414.0,28,6509.737828
-13596.0,20,6560.969319
-10964.0,24,6605.199959
-12296.0,22,6660.475583
-20904.0,16,6704.521554
-12046.0,24,6747.916636
-19387.0,20,6799.963649
-11208.0,20,6846.893679
-11114.0,28,6890.897802
-13822.0,24,6933.922412
-16633.0,16,6980.9774
-10489.0,28,7031.774397
-10724.0,28,7079.421216
-17288.0,20,7127.480453
-9166.0,20,7168.736611
-15218.0,24,7217.940282
-10695.0,28,7263.22803
-14931.0,16,7308.128553
-10560.0,28,7354.863726
-12145.0,22,7401.165998
-10704.0,24,7452.632708
-10753.0,28,7504.821914
-10678.0,28,7555.395482
-11941.0,24,7613.470782
-13201.0,28,7677.374065
-10637.0,28,7725.882375
-10223.0,22,7774.670373
-9719.0,24,7828.883591
-15831.0,24,7885.282089
-11706.0,18,7940.543277
-15323.0,24,8012.268712
-10582.0,28,8105.136501
-10281.0,24,8196.793769
-9246.0,24,8296.484163
-10521.0,28,8378.187361
-12338.0,24,8460.204764
-10630.0,28,8574.728756
-12646.0,24,8682.705926
-14502.0,24,8784.486048
-16423.0,24,8889.93749
-10953.0,26,9009.634883
-11329.0,24,9105.382367
-10103.0,24,9201.726695
-13190.0,24,9308.550038
-11006.0,28,9419.741881
-10881.0,28,9538.098902
-9756.0,24,9629.340317
-13526.0,20,9715.654567
-10840.0,28,9841.166162
-20919.0,20,9932.16398
-11016.0,28,10041.14458
-10660.0,28,10156.23448
-17806.0,16,10237.604666
-10772.0,28,10351.778107
-11791.0,20,10441.601538
-10484.0,28,10550.676145
-10684.0,28,10645.469766
-10816.0,28,10761.642318
-12704.0,24,10861.606004
-15388.0,24,10967.648241
-10617.0,28,11079.83862
-10830.0,20,11174.803579
-10814.0,24,11261.438513
-10894.0,28,11366.675193
-16787.0,20,11440.617149
-24173.0,16,11514.18325
-11572.0,24,11617.459209
-10626.0,24,11729.306017
-16501.0,20,11828.807578
-11250.0,16,11913.885381
-13997.0,24,12018.875856
-16947.0,20,12116.89497
-23631.0,16,12195.812325
-11015.0,28,12327.540356
-11672.0,24,12427.226372
-10866.0,28,12548.638259
-11730.0,23,12649.279462
-10565.0,28,12779.166021
-11099.0,24,12890.251031
-10932.0,24,12996.208678
-9766.0,24,13098.016456
-11615.0,24,13209.033067
-10487.0,28,13334.443577
-13873.0,17,13404.856082
-12288.0,24,13506.746585
-10947.0,26,13603.37463
